id,ingredient_name,ingredient_link,ingredient_image
62,1/2 oz  Lime juice,/ingredient/308-Lime-juice,../images/ingredients/Lime juice-Medium.png
62,Club soda,/ingredient/127-Club-soda,../images/ingredients/Club soda-Medium.png
63,2 scoops  Chocolate ice-cream,/ingredient/112-Chocolate-ice-cream,../images/ingredients/Chocolate ice-cream-Medium.png
63,2 oz  Brandy,/ingredient/74-Brandy,../images/ingredients/Brandy-Medium.png
63,2 oz  Amaretto,/ingredient/18-Amaretto,../images/ingredients/Amaretto-Medium.png
64,1 1/2 oz  Amaretto,/ingredient/18-Amaretto,../images/ingredients/Amaretto-Medium.png
64,3 oz  Sour mix,/ingredient/457-Sour-mix,../images/ingredients/Sour mix-Medium.png
65,1 1/2 oz  Amaretto,/ingredient/18-Amaretto,../images/ingredients/Amaretto-Medium.png
65,3/4 oz  White Creme de Menthe,/ingredient/520-White-Creme-de-Menthe,../images/ingredients/White Creme de Menthe-Medium.png
66,1 part  Amaretto,/ingredient/18-Amaretto,../images/ingredients/Amaretto-Medium.png
66,1 part  Sour mix,/ingredient/457-Sour-mix,../images/ingredients/Sour mix-Medium.png
66,1 part  Orange juice,/ingredient/352-Orange-juice,../images/ingredients/Orange juice-Medium.png
67,2 oz  Sour mix,/ingredient/457-Sour-mix,../images/ingredients/Sour mix-Medium.png
67,2 oz  Amaretto,/ingredient/18-Amaretto,../images/ingredients/Amaretto-Medium.png
67,2 oz  Tequila,/ingredient/4-Tequila,../images/ingredients/Tequila-Medium.png
67,Add splash  Orange juice,/ingredient/352-Orange-juice,../images/ingredients/Orange juice-Medium.png
68,1 cl  Amaretto,/ingredient/18-Amaretto,../images/ingredients/Amaretto-Medium.png
68,4 oz  Orange juice,/ingredient/352-Orange-juice,../images/ingredients/Orange juice-Medium.png
68,1/4 cl  Grenadine,/ingredient/250-Grenadine,../images/ingredients/Grenadine-Medium.png
69,1/2 jigger  Triple sec,/ingredient/498-Triple-sec,../images/ingredients/Triple sec-Medium.png
69,3 shots  Amaretto,/ingredient/18-Amaretto,../images/ingredients/Amaretto-Medium.png
69,1/2 cup  Cider,/ingredient/120-Cider,../images/ingredients/Cider-Medium.png
69,Add 1/2 cup  Ice,/ingredient/270-Ice,../images/ingredients/Ice-Medium.png
70,Amaretto,/ingredient/18-Amaretto,../images/ingredients/Amaretto-Medium.png
70,Sweet and sour,/ingredient/480-Sweet-and-sour,../images/ingredients/Sweet and sour-Medium.png
70,Midori melon liqueur,/ingredient/331-Midori-melon-liqueur,../images/ingredients/Midori melon liqueur-Medium.png
70,Pineapple juice,/ingredient/393-Pineapple-juice,../images/ingredients/Pineapple juice-Medium.png
71,6 oz hot  Tea,/ingredient/486-Tea,../images/ingredients/Tea-Medium.png
71,2 oz  Amaretto,/ingredient/18-Amaretto,../images/ingredients/Amaretto-Medium.png
71,Chilled  Whipped cream,/ingredient/515-Whipped-cream,../images/ingredients/Whipped cream-Medium.png
72,1 oz  Campari,/ingredient/83-Campari,../images/ingredients/Campari-Medium.png
72,1 oz red  Sweet Vermouth,/ingredient/482-Sweet-Vermouth,../images/ingredients/Sweet Vermouth-Medium.png
72,Twist of  Lemon peel,/ingredient/294-Lemon-peel,../images/ingredients/Lemon peel-Medium.png
72,Twist of  Orange peel,/ingredient/354-Orange-peel,../images/ingredients/Orange peel-Medium.png
73,1/2 oz  Apricot brandy,/ingredient/32-Apricot-brandy,../images/ingredients/Apricot brandy-Medium.png
